2007 2935
2006 2918
2004 2805
2003 2812
2002 2755
2001 2715
2000 2629
1999 2696
1998 2566
1997 2544
1996 2473

2005 2809
2003.75 2750
2003.25 2729
2002 2685
1998 2535
1997 2430
1995 2320
1994 2275
1993.75 2140
1993.25 2125
1992 1900

1988 2485
1981 2258
1978 2040
1976 1722
1988 2745


2005    2743
2004    2701
2001    2755

2006    2921
2007    2964
2008    3051
2009    3051
2010    3080
2011    3127
2012    3162
2013    3169
2014    3207
2015    3261
2016    3301
2017    3352

1984            1631
1985            1827
1986            1827
1987            1923
1988            1993
1989            2027
1990            2138
1991            2127
1992            2174
1993            2235
1995            2306
1996            2337
1997            2418
1998            2460
1999            2594
2000            2607
2001            2709
2002            2759
2003            2791
2004            2800
2005            2808
2006            2902
2007            2935

2012            3221
2013            3241
2014            3295
2015            3334
2016            3366
2017            3406
2018            3502

2019 3586
